MATLAB Sod Shock Tube Results (t = 0.150)
x,density,velocity,pressure,energy
0.002500,1.000000,0.000000,1.000000,2.500000
0.007500,1.000000,0.000000,1.000000,2.500000
0.012500,1.000000,0.000000,1.000000,2.500000
0.017500,1.000000,0.000000,1.000000,2.500000
0.022500,1.000000,0.000000,1.000000,2.500000
0.027500,1.000000,0.000000,1.000000,2.500000
0.032500,1.000000,0.000000,1.000000,2.500000
0.037500,1.000000,0.000000,1.000000,2.500000
0.042500,1.000000,0.000000,1.000000,2.500000
0.047500,1.000000,0.000000,1.000000,2.500000
0.052500,1.000000,0.000000,1.000000,2.500000
0.057500,1.000000,0.000000,1.000000,2.500000
0.062500,1.000000,0.000000,1.000000,2.500000
0.067500,1.000000,0.000000,1.000000,2.500000
0.072500,1.000000,0.000000,1.000000,2.500000
0.077500,1.000000,0.000000,1.000000,2.500000
0.082500,1.000000,0.000000,1.000000,2.500000
0.087500,1.000000,0.000000,1.000000,2.500000
0.092500,1.000000,0.000000,1.000000,2.500000
0.097500,1.000000,0.000000,1.000000,2.500000
0.102500,1.000000,0.000000,1.000000,2.500000
0.107500,1.000000,0.000000,1.000000,2.500000
0.112500,1.000000,0.000000,1.000000,2.500000
0.117500,1.000000,0.000000,1.000000,2.500000
0.122500,1.000000,0.000000,1.000000,2.500000
0.127500,1.000000,0.000000,1.000000,2.500000
0.132500,1.000000,0.000000,1.000000,2.500000
0.137500,1.000000,0.000000,1.000000,2.500000
0.142500,1.000000,0.000000,1.000000,2.500000
0.147500,1.000000,0.000000,1.000000,2.500000
0.152500,1.000000,0.000000,1.000000,2.500000
0.157500,1.000000,0.000000,1.000000,2.500000
0.162500,1.000000,0.000000,1.000000,2.500000
0.167500,1.000000,0.000000,1.000000,2.500000
0.172500,1.000000,0.000000,1.000000,2.500000
0.177500,1.000000,0.000000,1.000000,2.500000
0.182500,1.000000,0.000000,1.000000,2.500000
0.187500,1.000000,0.000000,1.000000,2.500000
0.192500,1.000000,0.000000,1.000000,2.500000
0.197500,1.000000,0.000000,1.000000,2.500000
